id,has_features
JacksonDatabind-23,True
Closure-113,True
Closure-164,True
JacksonDatabind-54,True
JxPath-17,True
Jsoup-62,True
Math-89,True
Lang-24,True
Csv-8,True
Mockito-1,True
Math-66,True
Collections-6,True
Closure-133,True
JacksonCore-22,True
Jsoup-35,True
Cli-30,True
JacksonDatabind-110,True
Math-31,True
Closure-125,True
JacksonDatabind-15,True
Compress-28,True
Cli-26,True
Jsoup-23,True
JacksonDatabind-106,True
Compress-7,True
Lang-65,True
Gson-17,True
Math-27,True
Mockito-38,True
JacksonDatabind-42,True
Closure-172,True
Time-27,True
Jsoup-74,True
Collections-25,True
Lang-32,True
JacksonCore-2,True
Math-70,True
JacksonCore-18,True
Closure-98,True
Closure-77,True
JacksonDatabind-39,True
Closure-109,True
Lang-49,True
JacksonDatabind-5,True
Jsoup-58,True
JacksonDatabind-81,True
Closure-20,True
Mockito-14,True
Math-6,True
Codec-18,True
JacksonDatabind-97,True
Compress-45,True
JacksonDatabind-78,True
Closure-36,True
Closure-148,True
Jsoup-1,True
Jsoup-19,True
Closure-61,True
Compress-12,True
Gson-9,True
Gson-8,True
Csv-16,True
Jsoup-18,True
Closure-60,True
Compress-13,True
JacksonDatabind-96,True
Compress-44,True
Closure-37,True
JacksonDatabind-79,True
Closure-149,True
Math-7,True
Lang-1,True
Jsoup-59,True
JacksonDatabind-80,True
Closure-21,True
Mockito-15,True
JacksonDatabind-4,True
JacksonCore-19,True
Closure-99,True
JacksonDatabind-38,True
Closure-76,True
Closure-108,True
Lang-33,True
JacksonCore-3,True
Math-71,True
JacksonDatabind-43,True
Closure-173,True
Time-26,True
Jsoup-75,True
Collections-24,True
JacksonDatabind-107,True
Compress-6,True
Lang-64,True
Math-26,True
Gson-16,True
Closure-124,True
JacksonDatabind-14,True
Compress-29,True
Cli-1,True
Cli-27,True
Jsoup-22,True
JacksonDatabind-111,True
Math-30,True
Closure-132,True
JacksonCore-23,True
Jsoup-34,True
Cli-31,True
Math-88,True
Csv-9,True
Math-67,True
Collections-7,True
Closure-165,True
JacksonDatabind-55,True
JxPath-16,True
Jsoup-63,True
Closure-83,True
Jsoup-14,True
Cli-11,True
JacksonDatabind-22,True
Closure-112,True
Math-10,True
Lang-52,True
Gson-4,True
Collections-12,True
Jsoup-43,True
Time-10,True
Closure-145,True
JacksonDatabind-75,True
Math-47,True
Jsoup-55,True
Mockito-19,True
JxPath-20,True
JacksonDatabind-63,True
Closure-153,True
Math-51,True
Lang-13,True
Codec-15,True
Closure-95,True
JacksonCore-15,True
Closure-104,True
JacksonDatabind-34,True
Time-3,True
JacksonDatabind-8,True
Lang-44,True
Mockito-35,True
Collections-28,True
Jsoup-79,True
Math-92,True
Compress-25,True
JacksonDatabind-18,True
Closure-56,True
Closure-128,True
Closure-40,True
Compress-33,True
Jsoup-38,True
Mockito-23,True
Jsoup-80,True
Closure-17,True
JacksonDatabind-59,True
Closure-169,True
JacksonXml-3,True
Lang-29,True
Csv-5,True
Math-84,True
Chart-12,True
JxPath-11,True
Mockito-28,True
Closure-162,True
JacksonDatabind-52,True
Jsoup-64,True
Lang-22,True
Math-60,True
Mockito-7,True
Closure-135,True
Compress-38,True
Cli-36,True
Jsoup-33,True
JacksonCore-24,True
Math-37,True
Closure-123,True
JacksonDatabind-13,True
Jsoup-25,True
Cli-20,True
Lang-63,True
Compress-1,True
JacksonDatabind-100,True
Gson-11,True
Math-21,True
JacksonDatabind-44,True
Closure-174,True
Jsoup-72,True
Collections-23,True
Math-99,True
Lang-34,True
JacksonCore-4,True
Math-76,True
Closure-71,True
Time-8,True
JacksonDatabind-3,True
JacksonDatabind-87,True
Mockito-12,True
Closure-158,True
Closure-26,True
JacksonDatabind-68,True
Lang-6,True
Jsoup-48,True
Collections-19,True
JacksonDatabind-91,True
Closure-30,True
Compress-43,True
Jsoup-7,True
Closure-88,True
Compress-14,True
Closure-119,True
JacksonDatabind-29,True
Closure-67,True
Lang-59,True
Csv-11,True
Math-83,True
Csv-2,True
Closure-10,True
JxPath-7,True
Mockito-24,True
Jsoup-87,True
Jsoup-68,True
JacksonXml-4,True
Codec-7,True
Compress-34,True
Closure-139,True
Closure-47,True
Closure-51,True
Compress-22,True
Jsoup-29,True
JacksonCore-8,True
Lang-38,True
Math-95,True
Jsoup-91,True
Mockito-32,True
JacksonDatabind-48,True
Time-4,True
Lang-43,True
Closure-92,True
JacksonCore-12,True
Math-100,True
Closure-103,True
JacksonDatabind-33,True
Math-56,True
Codec-12,True
Lang-14,True
Jsoup-52,True
JacksonDatabind-64,True
Closure-154,True
Closure-7,True
Math-40,True
Time-17,True
Collections-15,True
Jsoup-44,True
Closure-142,True
JacksonDatabind-72,True
Math-17,True
Gson-3,True
Lang-55,True
Cli-16,True
Jsoup-13,True
Closure-84,True
JacksonDatabind-25,True
Closure-115,True
Compress-18,True
Cli-17,True
Jsoup-12,True
Closure-85,True
JacksonDatabind-24,True
Closure-114,True
Compress-19,True
Math-16,True
Gson-2,True
Lang-54,True
Time-16,True
Collections-14,True
Cli-40,True
Closure-143,True
JacksonDatabind-73,True
Math-41,True
Jsoup-53,True
Closure-155,True
Closure-6,True
Math-57,True
Codec-13,True
Lang-15,True
JacksonCore-13,True
Math-101,True
Closure-102,True
JacksonDatabind-32,True
Time-5,True
Lang-42,True
Jsoup-90,True
Mockito-33,True
JacksonDatabind-49,True
JacksonCore-9,True
Lang-39,True
Math-94,True
Closure-50,True
Compress-23,True
Jsoup-28,True
Compress-35,True
Closure-138,True
Closure-46,True
Codec-6,True
Closure-11,True
JxPath-6,True
Mockito-25,True
Jsoup-86,True
Jsoup-69,True
JacksonXml-5,True
Math-82,True
Csv-3,True
Lang-58,True
Csv-10,True
Closure-89,True
Compress-15,True
Closure-118,True
Closure-66,True
JacksonDatabind-28,True
Jsoup-6,True
Jsoup-49,True
Collections-18,True
JacksonDatabind-90,True
Closure-31,True
Compress-42,True
Math-1,True
Lang-7,True
Lang-19,True
JacksonDatabind-86,True
Mockito-13,True
Closure-159,True
JacksonDatabind-69,True
Closure-27,True
Time-9,True
JacksonDatabind-2,True
Closure-70,True
Math-98,True
Lang-35,True
JacksonCore-5,True
Math-77,True
JacksonDatabind-45,True
Closure-175,True
Jsoup-73,True
Collections-22,True
Time-20,True
Chart-1,True
Lang-62,True
JacksonDatabind-101,True
Math-20,True
Gson-10,True
Cli-7,True
Closure-122,True
JacksonDatabind-12,True
Jsoup-24,True
Cli-21,True
Math-36,True
Closure-134,True
Compress-39,True
Cli-37,True
Jsoup-32,True
JacksonCore-25,True
Lang-23,True
Math-61,True
Collections-1,True
Mockito-6,True
JxPath-10,True
Mockito-29,True
Closure-163,True
JacksonDatabind-53,True
Jsoup-65,True
