fold,bug_id,triaged,selected_tool,score,success,score_FlexFL,adj_score_FlexFL,score_BRaIn,adj_score_BRaIn,score_boostnsift,adj_score_boostnsift,score_buglocator,adj_score_buglocator,score_locus,adj_score_locus
1,58,0,buglocator,0.2561,1,1.1577,-0.3301,1.2562,-0.3106,0.7378,-0.8535,1.8363,0.2561,1.8217,0.2189
1,144,1,,0.0,0,,,,,,,,,,
1,16,0,locus,0.4183,1,2.1803,-0.1215,1.6205,-0.7603,2.4655,0.0602,1.8308,-0.578,2.6503,0.4183
1,15,0,boostnsift,0.4287,0,-2.1507,0.1049,-2.0909,0.0858,-1.9072,0.4287,-2.4167,-0.268,-2.6653,-0.5246
1,16,0,buglocator,0.2719,1,1.8876,-0.506,1.656,-0.8166,2.5279,0.0308,2.7421,0.2719,2.7117,0.2031
1,11,0,BRaIn,0.3975,1,-1.5336,0.2205,-1.4056,0.3975,-3.5164,-1.8658,-3.3167,-1.6696,-5.1892,-3.5501
1,38,0,boostnsift,0.7098,0,1.6348,-0.6171,1.8607,-0.4702,2.6003,0.7098,1.9457,-0.4131,2.1355,-0.2313
1,12,0,locus,0.7038,1,1.8621,-0.3597,1.5828,-0.718,2.1,-0.2253,1.8259,-0.5029,2.5703,0.7038
1,168,0,FlexFL,0.707,0,-2.7979,0.707,-3.1564,-0.089,-3.2968,-0.2539,-3.34,-0.3006,-4.2757,-1.2443
1,154,1,,0.0,0,,,,,,,,,,
1,21,0,boostnsift,0.4009,1,0.6612,-0.0566,0.8275,0.0306,1.0664,0.4009,0.8623,0.0375,0.9104,0.0776
1,87,0,boostnsift,0.2635,1,1.0656,-0.0196,1.3673,0.2031,1.4337,0.2635,0.878,-0.3142,1.4152,0.215
1,78,0,boostnsift,0.2802,0,0.6706,0.1852,0.6814,0.117,0.8338,0.2802,0.7986,0.2063,0.5354,-0.065
1,50,0,boostnsift,0.7435,0,0.972,-0.6018,1.3724,-0.2803,1.9222,0.7435,1.0773,-0.6035,1.4238,-0.265
1,79,0,boostnsift,0.5715,1,0.861,-0.3306,1.2136,-0.057,1.5401,0.5715,1.0245,-0.2741,0.9998,-0.3068
1,12,1,,0.0,0,,,,,,,,,,
1,28,0,locus,0.4138,1,1.7468,-0.1774,1.5384,-0.4648,2.0924,0.0647,2.0299,-0.0014,2.2727,0.4138
1,13,0,buglocator,0.2593,1,1.1828,-0.3111,1.4727,-0.1002,1.5776,-0.0198,1.8424,0.2593,1.8246,0.2157
1,12,0,boostnsift,0.4287,0,-2.1507,0.1049,-2.0909,0.0858,-1.9072,0.4287,-2.4167,-0.268,-2.6653,-0.5246
1,9,0,boostnsift,0.5171,1,1.8505,-0.2944,1.7628,-0.4612,2.4934,0.5171,2.0234,-0.2286,2.2213,-0.0386
1,11,0,buglocator,0.4211,1,1.5003,-0.6577,1.5981,-0.6388,1.8703,-0.3911,2.5064,0.4211,2.3268,0.0539
1,143,1,,0.0,0,,,,,,,,,,
1,22,0,boostnsift,0.4266,1,1.157,-0.324,1.2335,-0.3265,1.8296,0.4266,1.648,0.0599,1.5279,-0.0682
1,90,0,locus,0.4297,1,0.7134,-0.0004,0.7545,-0.0383,0.0274,-0.7899,0.8661,0.0453,1.0623,0.4297
1,47,0,locus,0.3932,1,-1.1609,-0.1361,-1.6334,-0.6877,-3.7961,-2.8748,-0.836,0.0818,-0.6763,0.3932
1,91,0,BRaIn,0.5281,0,0.7853,0.0899,1.0439,0.5281,0.5857,-0.2132,0.621,-0.1814,0.565,-0.2453
1,16,0,locus,0.7283,1,1.9544,-0.6517,1.5557,-1.1294,2.3025,-0.4071,2.4598,-0.2533,2.9546,0.7283
1,39,0,BRaIn,0.435,0,-3.5304,0.1456,-3.3275,0.435,-3.4929,0.0795,-4.4723,-0.9034,-5.0742,-1.5133
1,10,0,boostnsift,0.8383,1,1.7812,-0.3197,1.618,-0.5618,2.4493,0.8383,1.8561,-0.3518,1.8097,-0.4061
1,8,0,buglocator,0.2522,1,1.4495,-0.0645,1.5372,-0.0558,1.7348,0.1172,1.8625,0.2522,1.8518,0.2228
1,89,0,BRaIn,0.3979,0,-3.6305,0.2201,-3.5021,0.3979,-3.7312,0.0159,-4.6122,-0.8686,-5.2015,-1.4659
1,1,0,locus,0.3501,0,-0.182,-0.1748,-0.3284,-0.4001,-0.3502,-0.4464,0.2246,0.1249,0.3412,0.3501
1,77,1,,0.0,0,,,,,,,,,,
1,38,0,locus,0.5539,1,1.4737,-0.6377,1.3627,-0.8276,1.3834,-0.8314,2.1394,-0.0789,2.4599,0.5539
1,29,0,locus,0.3839,1,1.1138,-1.2802,1.3478,-1.1251,1.6408,-0.8567,2.5921,0.0911,2.7425,0.3839
1,15,0,locus,0.4277,0,1.653,-0.2126,1.3302,-0.6145,2.02,0.0508,1.7076,-0.2651,2.2142,0.4277
1,60,0,boostnsift,1.0198,0,1.1025,-0.8265,1.4994,-0.5086,2.2775,1.0198,1.2486,-0.7874,1.5027,-0.5413
1,74,0,boostnsift,0.3519,0,1.478,-0.3345,1.7524,-0.1391,2.161,0.3519,1.8331,-0.0864,2.0541,0.1266
1,7,0,locus,0.2971,1,1.5096,0.1436,1.2236,-0.2213,1.6508,0.1814,1.2044,-0.2686,1.7144,0.2971
1,62,0,boostnsift,0.4355,0,1.2219,-0.5527,1.3953,-0.4583,2.1231,0.4355,1.73,-0.1516,1.9326,0.043
1,17,0,locus,0.6538,1,1.2269,-0.7459,1.2743,-0.7774,1.2389,-0.8374,1.901,-0.1788,2.3213,0.6538
1,3,0,locus,0.3435,0,-0.1652,-0.1787,-0.3141,-0.4066,-0.3274,-0.4444,0.2521,0.1315,0.362,0.3435
1,132,1,,0.0,0,,,,,,,,,,
1,22,0,boostnsift,0.6788,1,0.8656,-0.1568,0.8433,-0.2581,1.3709,0.6788,0.8684,-0.261,0.9371,-0.2003
1,12,0,locus,0.924,0,2.1693,-0.8701,1.6579,-1.4606,2.6975,-0.4455,1.7152,-1.4312,3.3879,0.924
1,88,0,boostnsift,0.3091,0,1.4505,-0.2829,1.7083,-0.1041,2.0818,0.3091,1.8103,-0.03,2.0177,0.1694
1,18,0,BRaIn,0.2852,1,0.806,-0.0078,1.1623,0.2852,1.1466,0.2293,0.6683,-0.2525,0.924,-0.0048
1,16,1,,0.0,0,,,,,,,,,,
1,110,0,locus,0.324,1,1.2161,0.0496,1.4033,0.1578,1.4245,0.1545,1.2876,0.0141,1.515,0.324
1,104,1,,0.0,0,,,,,,,,,,
1,64,1,,0.0,0,,,,,,,,,,
1,33,0,boostnsift,0.3232,0,1.0371,0.0505,1.2569,0.1913,1.3351,0.3232,1.1776,0.0839,1.2133,0.1117
1,27,0,boostnsift,0.7656,1,0.117,-0.3864,0.3314,-0.2511,0.852,0.7656,0.1318,-0.4786,-0.2346,-0.8531
1,122,0,BRaIn,0.3623,0,-3.4592,0.1135,-3.2242,0.3623,-3.3171,0.1522,-4.3838,-0.9181,-4.9944,-1.5367
1,3,0,locus,0.313,1,1.3863,-0.9365,1.5854,-0.8164,2.0296,-0.3967,2.5918,0.162,2.6713,0.313
1,1,0,locus,0.2816,1,1.8452,-0.2905,1.6909,-0.5238,2.4361,0.1969,2.1604,-0.0823,2.4842,0.2816
1,108,1,,0.0,0,,,,,,,,,,
1,134,0,FlexFL,0.3276,0,-3.7704,0.3276,-3.7495,0.2904,-4.0547,-0.0602,-4.7969,-0.8059,-5.3712,-1.3882
1,1,0,boostnsift,0.4711,1,2.0769,0.0659,1.4341,-0.6559,2.3595,0.4711,1.4875,-0.6305,2.1333,0.0074
1,8,0,boostnsift,0.4817,1,0.725,-0.1975,0.982,-0.0195,1.271,0.4817,0.9108,-0.1187,1.0343,-0.0032
1,30,0,BRaIn,0.2719,1,0.8983,-0.0368,1.2835,0.2719,0.9876,-0.0509,0.9164,-0.1256,1.2811,0.2311
1,25,0,locus,0.3264,0,-0.1533,0.2556,-0.2969,0.0329,-1.8418,-1.5365,-0.3843,-0.0825,-0.0603,0.3264
1,4,0,locus,0.3178,0,0.2854,-0.338,0.6166,-0.0859,0.8876,0.1607,0.7467,0.0162,0.9719,0.3178
1,7,0,boostnsift,0.8283,0,0.6664,-0.5681,0.9531,-0.3604,1.583,0.8283,0.9998,-0.3418,0.9549,-0.3946
1,17,0,BRaIn,0.5953,1,0.3142,0.0227,0.6399,0.5953,-1.3376,-1.7326,-0.1947,-0.5932,-2.2896,-2.6961
1,83,0,boostnsift,0.7636,0,0.5581,-0.5514,0.9394,-0.2491,1.458,0.7636,0.3286,-0.8879,0.6623,-0.5622
1,94,0,boostnsift,0.3214,0,-2.3895,0.2721,-2.5002,0.0824,-2.3131,0.3214,-2.8067,-0.2521,-3.7915,-1.2449
1,9,0,boostnsift,0.3215,0,-0.2722,0.1758,-0.2494,0.1196,-0.0995,0.3215,-0.3137,0.0273,-0.176,0.157
1,14,1,,0.0,0,,,,,,,,,,
1,15,0,BRaIn,0.4009,1,0.5586,0.1456,0.7615,0.4009,-0.0297,-0.5462,0.3922,-0.1278,0.6301,0.1021
1,139,1,,0.0,0,,,,,,,,,,
1,34,0,locus,0.9692,1,1.5282,-0.6519,1.6962,-0.563,1.4643,-0.8194,1.793,-0.4942,2.5287,0.9692
1,82,0,locus,0.569,1,0.7834,-0.2175,0.8484,-0.2315,0.1982,-0.9062,1.0139,-0.094,1.3494,0.569
1,24,0,locus,0.3887,1,1.7453,-0.4653,1.1955,-1.0941,2.179,-0.1351,2.4039,0.0863,2.5591,0.3887
1,18,0,boostnsift,0.5357,0,1.6262,-0.0304,1.5685,-0.1671,2.0051,0.5357,1.4583,-0.3053,1.7144,-0.0572
1,108,0,boostnsift,0.7102,1,1.1847,-0.6178,1.6857,-0.1957,2.1509,0.7102,1.004,-0.9055,1.2202,-0.6972
1,36,0,boostnsift,0.3203,1,1.5971,-0.1359,1.6105,-0.2015,2.0815,0.3203,1.6478,-0.1922,2.0062,0.1582
1,68,1,,0.0,0,,,,,,,,,,
1,53,0,locus,0.393,1,1.696,-0.317,1.8361,-0.2559,2.2021,0.0855,1.9558,-0.1642,2.3615,0.393
1,6,0,boostnsift,0.9348,1,1.3352,-0.5343,1.5282,-0.4203,2.218,0.9348,1.3901,-0.5864,1.5025,-0.4821
1,46,0,boostnsift,0.4995,1,1.6283,-0.0674,1.7897,0.015,2.0442,0.4995,1.7789,-0.0238,1.7272,-0.0834
1,52,0,buglocator,0.251,1,1.3432,-0.6003,1.5082,-0.5143,1.9118,-0.1352,2.2921,0.251,2.2825,0.224
1,10,0,locus,0.3149,1,1.5908,0.2671,1.0547,-0.348,1.4259,-0.0013,1.4795,0.0487,1.6722,0.3149
1,15,0,locus,0.3142,1,1.2429,0.0203,1.4206,0.119,1.4905,0.1643,1.3204,-0.0092,1.5711,0.3142
1,6,0,boostnsift,0.2712,1,1.4624,-0.2997,1.6455,-0.1957,2.1106,0.2712,1.5028,-0.3664,2.0845,0.2073
1,91,0,boostnsift,1.0409,0,1.1023,-0.8425,1.4909,-0.5328,2.2933,1.0409,1.225,-0.8268,1.4973,-0.5624
1,2,0,boostnsift,0.6999,1,1.2298,-0.3363,1.4222,-0.2229,1.9146,0.6999,1.3527,-0.3204,1.4597,-0.2214
1,84,0,boostnsift,0.904,0,1.0601,-0.7275,1.4771,-0.3895,2.1361,0.904,1.1866,-0.708,1.4223,-0.4804
1,2,0,locus,0.3646,0,0.6518,-0.2187,0.9677,0.0182,1.0879,0.1139,0.8189,-0.1586,1.219,0.3646
1,12,0,boostnsift,0.4521,0,1.3476,-0.095,1.584,0.0624,1.7912,0.4521,1.4071,-0.1426,1.3302,-0.2275
1,86,0,boostnsift,0.4212,1,1.1231,-0.0225,1.3179,0.0933,1.4941,0.4212,1.3024,0.0498,1.1858,-0.0748
1,8,0,locus,0.5841,1,1.565,-0.9904,1.6575,-0.9769,2.0218,-0.6371,2.5532,-0.1091,2.9039,0.5841
1,41,0,boostnsift,0.4228,0,1.6355,-0.144,1.5973,-0.2612,2.128,0.4228,1.9171,0.0306,1.9502,0.0557
1,129,1,,0.0,0,,,,,,,,,,
1,35,1,,0.0,0,,,,,,,,,,
1,11,0,locus,0.3142,0,0.2737,-0.2193,0.3475,-0.2245,0.7608,0.1643,0.6533,0.0533,0.8415,0.3142
1,10,0,boostnsift,0.6826,0,0.631,-0.4407,0.9826,-0.1681,1.4202,0.6826,0.9623,-0.2163,0.8106,-0.376
1,128,1,,0.0,0,,,,,,,,,,
1,44,0,boostnsift,0.4203,0,1.237,-0.267,1.6772,0.0942,1.8526,0.4203,1.0132,-0.5979,1.25,-0.3691
1,9,0,locus,0.4282,1,1.562,-0.7875,1.5011,-0.9275,2.2928,-0.1603,2.5034,0.0468,2.6981,0.4282
1,87,0,BRaIn,0.2956,1,0.6908,0.2043,0.835,0.2956,0.3475,-0.2425,0.6277,0.0342,0.8089,0.2074
1,27,0,locus,0.3571,0,1.4245,-0.8231,1.4349,-0.8916,1.6953,-0.6557,2.4725,0.1179,2.5961,0.3571
1,102,0,buglocator,0.2779,1,1.6765,-0.3837,1.7195,-0.4197,2.2353,0.0716,2.4087,0.2779,2.3723,0.1971
1,63,0,BRaIn,0.3341,1,0.4725,0.1996,0.6214,0.3341,-0.1723,-0.5487,0.2982,-0.0817,0.5568,0.1689
1,77,0,boostnsift,0.3312,0,0.3995,-0.0257,0.4098,-0.0944,0.7737,0.3312,0.6875,0.1553,0.4335,-0.1067
1,13,0,buglocator,0.4123,0,-0.0233,0.0622,-0.0844,-0.0779,0.0922,0.0742,0.263,0.4123,-0.6859,-0.7154
1,27,0,locus,0.4596,1,1.5514,-0.7977,1.5851,-0.843,2.1747,-0.2778,2.4714,0.0154,2.6976,0.4596
1,34,0,BRaIn,0.3663,0,0.7126,0.0965,0.9646,0.3663,0.4847,-0.2349,0.5332,-0.1899,0.8678,0.1367
1,170,1,,0.0,0,,,,,,,,,,
1,13,0,locus,1.1385,0,1.4171,-0.5976,1.1349,-0.9589,1.0736,-1.0446,1.4582,-0.6635,2.3632,1.1385
1,1,0,boostnsift,0.8434,1,1.7398,-0.4661,1.8923,-0.3927,2.5544,0.8434,1.956,-0.3569,1.9417,-0.3792
1,12,0,buglocator,0.7032,1,1.5654,-0.8964,2.1447,-0.3961,2.3487,-0.2167,2.8104,0.7032,1.6152,-0.9617
1,31,0,BRaIn,0.4246,1,1.4901,0.1934,1.6452,0.4246,1.4858,0.0855,1.3515,-0.0522,1.4469,0.0352
1,86,0,buglocator,0.2601,1,1.4504,-0.5998,1.7473,-0.3819,2.1652,0.0115,2.3987,0.2601,2.3801,0.2149
1,40,0,locus,0.443,1,1.5921,0.0064,1.2965,-0.3682,1.5671,-0.1221,1.7247,0.032,1.9342,0.443
1,20,1,,0.0,0,,,,,,,,,,
1,30,0,boostnsift,0.4287,0,-2.1507,0.1049,-2.0909,0.0858,-1.9072,0.4287,-2.4167,-0.268,-2.6653,-0.5246
1,18,0,boostnsift,0.309,0,1.0365,-0.7124,1.2203,-0.6076,2.0974,0.309,1.5334,-0.3225,2.0334,0.1695
1,25,0,locus,0.2777,1,1.7432,-0.2877,1.7322,-0.3777,2.3352,0.2008,2.2405,0.1026,2.3794,0.2777
1,31,0,boostnsift,0.3289,0,1.3474,-0.086,1.4918,-0.0206,1.7819,0.3289,1.4365,-0.1039,1.698,0.1496
1,41,0,FlexFL,0.3726,1,1.4809,0.3726,1.1152,-0.0962,1.4568,0.2209,0.9004,-0.339,1.223,-0.0244
1,69,0,boostnsift,0.3727,1,1.4957,0.0677,1.6148,0.1078,1.7765,0.3727,1.4665,-0.0685,1.6488,0.1058
1,161,1,,0.0,0,,,,,,,,,,
1,34,0,locus,0.3596,1,1.7839,-0.5404,1.6639,-0.7394,2.5467,0.1189,2.3635,-0.0678,2.6728,0.3596
1,20,1,,0.0,0,,,,,,,,,,
1,14,0,boostnsift,0.7778,0,0.6258,-0.5716,1.0131,-0.2633,1.5459,0.7778,0.9193,-0.3851,0.987,-0.3254
1,71,0,boostnsift,0.4633,0,0.5667,-0.4034,0.8133,-0.2358,1.3186,0.4633,0.8952,-0.1819,1.1003,0.0152
1,33,0,BRaIn,0.3676,0,-3.6278,0.2504,-3.5296,0.3676,-3.7275,0.0472,-4.645,-0.8738,-5.2299,-1.4668
1,4,1,,0.0,0,,,,,,,,,,
1,20,0,locus,0.3165,1,1.6033,-0.2481,1.5511,-0.3792,1.9442,-0.0107,2.1168,0.1585,2.1999,0.3165
1,54,0,locus,0.5579,0,1.8738,-0.6844,1.6926,-0.9446,2.4676,-0.1941,2.5823,-0.0829,2.9067,0.5579
1,7,0,buglocator,0.2912,1,1.5383,-0.6247,1.602,-0.6401,1.9086,-0.3579,2.5115,0.2912,2.4619,0.1838
1,30,0,boostnsift,0.2575,1,0.4771,-0.3359,0.8823,-0.0096,1.1615,0.2575,1.0513,0.1313,1.149,0.221
1,31,0,boostnsift,0.4287,0,-2.1507,0.1049,-2.0909,0.0858,-1.9072,0.4287,-2.4167,-0.268,-2.6653,-0.5246
1,33,1,,0.0,0,,,,,,,,,,
1,18,0,locus,0.3172,1,1.7361,-0.4031,1.7778,-0.4403,2.4039,0.1613,2.2808,0.0347,2.4876,0.3172
1,31,1,,0.0,0,,,,,,,,,,
1,1,0,boostnsift,0.3428,1,0.926,-0.1352,1.3119,0.1717,1.4097,0.3428,0.7787,-0.3895,1.265,0.0888
1,66,0,locus,0.4356,0,0.4727,-0.0679,0.687,0.0674,0.4182,-0.2259,0.6634,0.0158,0.8891,0.4356
1,22,0,buglocator,0.505,1,1.4682,-0.9298,2.0903,-0.3866,2.4829,-0.0185,2.7464,0.505,2.0931,-0.4198
1,57,0,locus,0.2813,1,1.9588,-0.1422,1.5987,-0.5813,2.4017,0.1972,2.1821,-0.0259,2.4495,0.2813
1,106,0,boostnsift,0.3173,1,1.1992,-0.1264,1.5163,0.1117,1.6741,0.3173,1.6018,0.1692,1.3832,-0.0574
1,94,0,boostnsift,0.3835,1,2.0364,-0.4188,1.7807,-0.7536,2.8038,0.3835,2.4168,-0.1454,2.6652,0.095
1,27,0,boostnsift,0.6031,1,1.2666,-0.5462,1.4612,-0.4306,2.1613,0.6031,1.5295,-0.3903,1.8032,-0.1246
1,33,0,boostnsift,0.7917,1,0.9937,-0.4964,1.2416,-0.3276,1.8386,0.7917,0.9759,-0.6213,1.292,-0.3132
1,1,1,,0.0,0,,,,,,,,,,
1,19,0,boostnsift,0.4966,1,1.5738,-0.1445,1.7814,-0.0159,2.0668,0.4966,1.8152,-0.0101,1.8052,-0.0281
2,17,1,,0.0,0,,,,,,,,,,
2,5,1,,0.0,0,,,,,,,,,,
2,14,0,buglocator,0.9159,0,1.5657,-0.4525,1.5133,-0.5838,1.6922,-0.4294,2.3666,0.9159,1.6864,-0.4467
2,16,0,boostnsift,0.4116,1,1.0334,-0.1783,0.9084,-0.3823,1.5602,0.4116,1.3467,0.028,1.3936,0.0669
2,13,0,boostnsift,0.2574,1,1.8291,0.1652,1.5645,-0.1784,2.0124,0.2574,2.0,0.2291,1.7114,-0.0676
2,146,1,,0.0,0,,,,,,,,,,
2,66,0,FlexFL,0.4033,1,2.3055,0.4033,1.6598,-0.3762,2.0492,-0.0113,2.0075,-0.0565,2.2507,0.1787
2,24,0,locus,0.9964,0,1.9936,-1.0785,1.6569,-1.4942,2.6507,-0.5248,2.6577,-0.5214,3.4206,0.9964
2,94,0,FlexFL,0.5623,0,0.8622,0.5623,0.455,-0.1377,0.6484,0.0312,0.6338,0.0131,0.5691,-0.0595
2,67,0,locus,0.3913,1,2.0692,0.1907,1.4873,-0.4702,1.8963,-0.0857,1.9962,0.0107,2.227,0.3913
2,147,1,,0.0,0,,,,,,,,,,
2,16,0,boostnsift,0.2946,0,-4.4069,-0.7088,-3.3991,0.2199,-3.3495,0.2946,-4.5478,-0.9567,-5.1067,-1.5237
2,39,0,buglocator,0.3427,1,2.3444,0.0581,1.9469,-0.4183,2.3866,-0.0031,2.6348,0.3427,2.5336,0.1323
2,18,0,FlexFL,0.3354,1,0.6711,0.3354,0.6842,0.2826,0.1375,-0.3017,0.2823,-0.1604,0.3196,-0.1311
2,69,1,,0.0,0,,,,,,,,,,
2,25,0,FlexFL,0.555,1,0.5705,0.555,0.364,0.063,-1.1596,-1.4851,-1.7613,-2.0903,-2.7169,-3.0539
2,74,0,locus,0.3091,1,1.9347,-0.2261,1.7103,-0.5295,1.8618,-0.4025,2.4338,0.1659,2.5093,0.3091
2,13,0,boostnsift,0.6847,0,-2.7791,-0.6207,-2.2496,-0.1702,-1.8099,0.6847,-2.6913,-0.6399,-3.6282,-1.5848
2,51,0,boostnsift,0.9031,1,0.6443,-0.6329,0.9366,-0.4196,1.6257,0.9031,0.8927,-0.4915,0.9676,-0.4246
2,92,0,boostnsift,0.4676,0,0.1509,-0.2425,0.5193,0.0469,0.7419,0.4676,-0.0822,-0.5826,0.055,-0.4534
2,155,1,,0.0,0,,,,,,,,,,
2,49,0,locus,0.4011,1,0.8254,0.0988,0.6425,-0.1631,-0.3651,-1.1952,0.9075,0.0739,1.0751,0.4011
2,169,1,,0.0,0,,,,,,,,,,
2,10,0,locus,0.4057,0,1.0958,0.1635,1.1086,0.0973,1.0349,-0.0009,0.9536,-0.0857,1.2808,0.4057
2,13,0,boostnsift,0.6002,1,1.1781,-0.3583,1.0437,-0.5717,1.8848,0.6002,1.3775,-0.2658,1.5296,-0.1217
2,88,0,locus,0.5256,1,1.7735,0.0154,1.6151,-0.2221,1.5624,-0.2993,1.8146,-0.0506,2.1066,0.5256
2,17,0,FlexFL,0.4411,0,1.7723,0.4411,1.5581,0.0553,1.6797,0.1524,1.5583,0.0275,1.5173,-0.0215
2,10,0,boostnsift,0.4154,0,-4.1528,-0.9122,-3.0624,0.0991,-2.892,0.4154,-4.3001,-1.1665,-4.8717,-1.7461
2,52,1,,0.0,0,,,,,,,,,,
2,9,0,FlexFL,0.4838,0,1.9567,0.4838,1.8214,0.1342,0.9526,-0.7591,0.7422,-0.973,0.1044,-1.6188
2,142,0,boostnsift,0.3612,0,-4.2579,-0.8277,-3.1979,0.1533,-3.0817,0.3612,-4.3991,-1.0758,-4.9658,-1.6506
2,156,1,,0.0,0,,,,,,,,,,
2,89,0,locus,0.3532,1,2.2614,0.2288,1.8134,-0.2982,2.1275,-0.0086,1.9404,-0.1992,2.3811,0.3532
2,10,0,locus,0.3129,0,1.8637,0.0473,1.6776,-0.2177,1.8357,-0.0841,2.0854,0.1621,2.1648,0.3129
2,13,1,,0.0,0,,,,,,,,,,
2,102,0,FlexFL,0.3316,1,1.4926,0.3316,1.2703,0.0302,1.5096,0.2619,1.1804,-0.0877,1.22,-0.0561
2,10,0,locus,0.2839,0,1.7137,-0.0945,1.2351,-0.6521,1.5553,-0.3564,2.1063,0.1911,2.1567,0.2839
2,4,0,locus,0.3357,1,1.9365,0.0623,1.5769,-0.3763,2.1205,0.1428,1.9856,0.0043,2.2227,0.3357
2,28,0,locus,0.7848,1,1.3117,-0.6893,1.207,-0.873,1.0206,-1.0839,1.7982,-0.3098,2.3495,0.7848
2,62,1,,0.0,0,,,,,,,,,,
2,125,1,,0.0,0,,,,,,,,,,
2,65,0,FlexFL,0.3509,1,1.5724,0.3509,1.5609,0.2581,1.3534,0.026,1.4738,0.1429,1.5699,0.2311
2,11,0,locus,1.025,0,3.3966,-0.443,1.7146,-2.2039,2.5441,-1.399,1.9903,-1.9563,4.188,1.025
2,20,0,BRaIn,0.345,0,0.6858,0.273,0.7613,0.345,0.5626,0.0463,0.3019,-0.2179,0.4661,-0.0616
2,64,0,boostnsift,0.2912,1,1.58,0.1515,1.4498,-0.0576,1.7769,0.2912,1.7307,0.1953,1.5929,0.0494
2,58,0,FlexFL,0.3149,0,2.2597,0.3149,1.6018,-0.422,2.1812,0.1329,2.0532,0.0014,2.2933,0.2671
2,88,1,,0.0,0,,,,,,,,,,
2,7,0,buglocator,0.4056,0,1.5567,-0.1383,1.521,-0.253,1.6859,-0.1126,2.0434,0.4056,1.8793,0.0694
2,89,0,boostnsift,0.5121,1,2.0905,-0.0181,1.8315,-0.3561,2.4571,0.5121,1.9959,-0.2197,2.1899,-0.0336
2,76,0,FlexFL,0.3757,0,1.1461,0.3757,1.1037,0.2271,1.1189,0.2178,0.6798,-0.2248,0.869,-0.0436
2,75,1,,0.0,0,,,,,,,,,,
2,77,0,locus,0.3935,1,1.5373,0.0871,1.4296,-0.0996,1.6387,0.085,1.6219,0.0647,1.7987,0.3935
2,67,0,boostnsift,0.5683,0,0.8713,0.0252,0.8536,-0.0715,1.1947,0.5683,0.8029,-0.1503,0.8519,-0.1092
2,123,1,,0.0,0,,,,,,,,,,
2,9,0,FlexFL,0.3354,0,1.0769,0.3354,1.0124,0.1918,0.817,-0.0281,1.0901,0.2546,0.9771,0.1206
